keyword,times,percentage
information visualization,703,15.33260632
visualization,610,13.304253
visual analytics,499,10.88331516
volume rendering,362,7.895310796
intelligence analysis,338,7.371864776
investigative analysis,338,7.371864776
multiple views,338,7.371864776
taxonomy,319,6.957470011
communication-minded visualization,277,6.041439477
social data analysis,277,6.041439477
social software,277,6.041439477
world wide web,277,6.041439477
curves,230,5.016357688
edge aggregation,230,5.016357688
edge bundling,230,5.016357688
edge concentration,230,5.016357688
graph visualization,230,5.016357688
hierarchies,230,5.016357688
network visualization,230,5.016357688
node-link diagrams,230,5.016357688
tree visualization,230,5.016357688
treemaps,230,5.016357688
2d graphics,204,4.449291167
toolkits,204,4.449291167
user interfaces,204,4.449291167
programmable graphics hardware,190,4.143947655
ray-casting,190,4.143947655
illustration,172,3.751363141
lighting models,172,3.751363141
non-photorealistic rendering,172,3.751363141
shading,172,3.751363141
direct manipulation widgets,165,3.598691385
direct volume rendering,165,3.598691385
graphics hardware,165,3.598691385
multi-dimensional transfer functions,165,3.598691385
volume visualization,165,3.598691385
community,161,3.511450382
data mining,161,3.511450382
exploration,161,3.511450382
graphs,161,3.511450382
interaction,161,3.511450382
interaction techniques,161,3.511450382
play,161,3.511450382
social networks,161,3.511450382
analytic activity,158,3.446019629
design,158,3.446019629
evaluation,158,3.446019629
knowledge discovery,158,3.446019629
