InfoVis,InfoVisNum,SciVis,SciVisNum,VAST,VASTNum,Vis,VisNum
2827,,131,,1625,,2625,
information visualization,167,information visualization,4,visual analytics,160,volume rendering,100
interaction,55,scientific visualization,4,visualization,43,human-computer interaction,58
multidimensional visualization,55,domain specific languages,3,information visualization,40,automated design of graphical displays,55
visualization,53,exploratory visualization,3,sensemaking,32,cooperative design and modeling,55
parallel coordinates,40,framework,3,collaboration,28,design automation,55
exploratory visualization,33,information theory,3,intelligence analysis,28,grammar-directed design,55
graph visualization,32,isosurface,3,information retrieval,22,flow visualization,53
high-dimensional data,30,multivariate uncertainty,3,interaction,20,volume visualization,38
user interfaces,28,applications of visualization,2,interactive visualization,20,computational geometry,36
visual analytics,28,composite materials,2,multidimensional visualization,18,transfer function,29
clustering,26,connectomics,2,exploratory visualization,15,scientific visualization,25
evaluation,26,coronal hole extraction,2,multivariate data,13,multidimensional visualization,24
design study,25,design studies,2,argumentation marshalling,12,volume modeling,23
multivariate data,25,evaluation,2,collective intelligence,12,geometric modeling,22
brushing,21,feature-based visualisation,2,entity-based,12,sweeping,22
design,19,high-dimensional data,2,human-computer interaction,12,direct volume rendering,20
direct manipulation,17,integrating spatial and non-spatial data visualization,2,machine learning,12,isosurfaces,19
focus+context,16,isocline surfaces,2,semantic notebook,12,visualization,18
human-computer interaction,16,methodology design,2,framework,11,interactive visualization,17
toolkits,16,mixed-initiative systems,2,provenance,11,focus+context,16
graph drawing,15,neuroscience,2,visual knowledge discovery,11,biomedical visualization,15
network visualization,15,petascale volume analysis,2,high-dimensional data,10,information visualization,15
categorical data,14,portable parallel programming,2,knowledge discovery,10,algorithms,14
interactivity,13,query algebra,2,includeedittext mining,10,data structures,14
text visualization,13,streamline behavior,2,,,expected time complexity,14
hierarchies,12,structural mechanics,2,,,nearest common ancestor,14
interactive visualization,12,systematic review,2,,,visualization of volume data,14
navigation,12,task and requirements analysis,2,,,feature extraction,13
visualization models,12,tensor fields,2,,,non-photorealistic rendering,13
geovisualization,11,tensor visualization,2,,,multivariate visualization,12
metrics,11,user interfaces,2,,,graphics hardware,11
multiple views,10,validation,2,,,information retrieval,11
node-link diagrams,10,vector field topology,2,,,parallel coordinates,11
task and requirements analysis,10,visual comparison,2,,,ray casting,11
taxonomy,10,visual knowledge discovery,2,,,streamlines,11
text and document data,10,visualization,2,,,vector field,11
visual exploration,10,visualization recommendation,2,,,advection,10
includeeditvisual queries,10,includeeditvolume visualization,2,,,critical points,10
,,,,,,graphical user interface,10
,,,,,,illustrative visualization,10
,,,,,,surface reconstruction,10
,,,,,,topology,10
,,,,,,unstructured_10,10
,,,,,,includeeditvector field visualization,10
