keyword,times,percentage,,,,,
visual analytics,1131,2.244492955,visual analytics1131,,,visual analytics,
information visualization,995,1.974598135,information visualization995,,,information visualization,
visualization,796,1.579678508,visualization796,,,visualization,
volume rendering,753,1.494344116,volume rendering753,,,volume rendering,
flow visualization,526,1.043857908,flow visualization526,,,flow visualization,
multidimensional visualization,441,0.875173646,multidimensional visualization441,,,multidimensional visualization,
scientific visualization,342,0.678706092,scientific visualization342,,,scientific visualization,
interaction,340,0.674737051,interaction340,,,interaction,
multi-resolution,323,0.641000198,multi-resolution323,,,multi-resolution,
volume visualization,274,0.543758682,volume visualization274,,,volume visualization,
interactive visualization,268,0.531851558,interactive visualization268,,,interactive visualization,
focus+context,248,0.492161143,Focus+Context248,,,Focus+Context,
parallel coordinates,235,0.466362373,parallel coordinates235,,,parallel coordinates,
direct volume rendering,224,0.444532645,Direct volume rendering224,,,Direct volume rendering,
high-dimensional data,220,0.436594562,high-dimensional data220,,,high-dimensional data,
human-computer interaction,217,0.430641,human-computer interaction217,,,human-computer interaction,
user interfaces,216,0.428656479,user interfaces216,,,user interfaces,
clustering,207,0.410795793,clustering207,,,clustering,
evaluation,201,0.398888668,evaluation201,,,evaluation,
transfer function,194,0.384997023,transfer function194,,,transfer function,
uncertainty visualization,193,0.383012502,Uncertainty visualization193,,,Uncertainty visualization,
level-of-detail,190,0.37705894,level-of-detail190,,,level-of-detail,
computational geometry,187,0.371105378,Computational geometry187,,,Computational geometry,
graph visualization,179,0.355229212,graph visualization179,,,graph visualization,
design study,168,0.333399484,design study168,,,design study,
multivariate data,167,0.331414963,multivariate data167,,,multivariate data,
exploratory visualization,162,0.32149236,exploratory visualization162,,,exploratory visualization,
framework,158,0.313554277,framework158,,,framework,
sensemaking,156,0.309585235,sensemaking156,,,sensemaking,
isosurface,145,0.287755507,isosurface145,,,isosurface,
feature extraction,139,0.275848383,feature extraction139,,,feature extraction,
text visualization,132,0.261956737,text visualization132,,,text visualization,
time-varying data,131,0.259972217,time-varying data131,,,time-varying data,
streamlines,129,0.256003175,streamlines129,,,streamlines,
isosurfaces,126,0.250049613,isosurfaces126,,,isosurfaces,
information retrieval,122,0.24211153,information retrieval122,,,information retrieval,
biomedical visualization,119,0.236157968,biomedical visualization119,,,biomedical visualization,
user interaction,118,0.234173447,user interaction118,,,user interaction,
spatiotemporal ,116,0.230204406,spatiotemporal 116,,,spatiotemporal ,
topology,115,0.228219885,topology115,,,topology,
unstructured ,113,0.224250843,unstructured 113,,,unstructured ,
diffusion tensor,111,0.220281802,Diffusion Tensor111,,,Diffusion Tensor,
automated design of graphical displays,110,0.218297281,automated design of graphical displays110,,,automated design of graphical displays,
cooperative design and modeling,110,0.218297281,cooperative design and modeling110,,,cooperative design and modeling,
design automation,110,0.218297281,design automation110,,,design automation,
grammar-directed design,110,0.218297281,Grammar-directed design110,,,Grammar-directed design,
surface reconstruction,109,0.21631276,surface reconstruction109,,,surface reconstruction,
visual knowledge discovery,109,0.21631276,visual knowledge discovery109,,,visual knowledge discovery,
design,108,0.21432824,design108,,,design,
geometric modeling,108,0.21432824,geometric modeling108,,,geometric modeling,
comparative visualization,107,0.212343719,comparative visualization107,,,comparative visualization,
graphics hardware,107,0.212343719,graphics hardware107,,,graphics hardware,
isosurface extraction,107,0.212343719,isosurface extraction107,,,isosurface extraction,
texture mapping,107,0.212343719,texture mapping107,,,texture mapping,
vector field visualization,107,0.212343719,vector field visualization107,,,vector field visualization,
collaboration,106,0.210359198,collaboration106,,,collaboration,
illustrative visualization,104,0.206390157,illustrative visualization104,,,illustrative visualization,
interactive clustering,104,0.206390157,interactive clustering104,,,interactive clustering,
time-dependent data,104,0.206390157,time-dependent data104,,,time-dependent data,
volume modeling,104,0.206390157,volume modeling104,,,volume modeling,
qualitative evaluation,103,0.204405636,qualitative evaluation103,,,qualitative evaluation,
visualization systems,100,0.198452074,visualization systems100,,,visualization systems,
sweeping,#NAME?,,sweeping97,,,sweeping97,sweepi
uncertainty,97,,uncertainty97,,,uncertainty97,
multivariate visualization,96,,multivariate visualization96,,,multivariate visualization96,
animation,95,,animation95,,,animation95,
virtual reality,95,,virtual reality95,,,virtual reality95,
classification,92,,classification92,,,classification92,
user study,91,,user study91,,,user study91,
interactivity,90,,interactivity90,,,interactivity90,
Marching Cubes,86,,Marching Cubes86,,,Marching Cubes86,
medical visualization,86,,medical visualization86,,,medical visualization86,
Network visualization,86,,Network visualization86,,,Network visualization86,
interaction techniques,85,,interaction techniques85,,,interaction techniques85,
metrics,85,,metrics85,,,metrics85,
multiple views,85,,multiple views85,,,multiple views85,
time series data,84,,time series data84,,,time series data84,
data structures,83,,data structures83,,,data structures83,
ray casting,83,,ray casting83,,,ray casting83,
Bezier surface,81,,Bezier surface81,,,Bezier surface81,
contour data,81,,contour data81,,,contour data81,
minimum area triangulation,81,,minimum area triangulation81,,,minimum area triangulation81,
perception,78,,perception78,,,perception78,
reconstruction,77,,reconstruction77,,,reconstruction77,
graph drawing,76,,graph drawing76,,,graph drawing76,
visual exploration,76,,visual exploration76,,,visual exploration76,
brushing,74,,brushing74,,,brushing74,
optimization,72,,optimization72,,,optimization72,
data transformation,71,,data transformation71,,,data transformation71,
direct manipulation,71,,direct manipulation71,,,direct manipulation71,
non-photorealistic rendering,71,,non-photorealistic rendering71,,,non-photorealistic rendering71,
interpolation,68,,interpolation68,,,interpolation68,
simplification,68,,simplification68,,,simplification68,
visualization models,67,,visualization models67,,,visualization models67,
experiment,66,,experiment66,,,experiment66,
geovisualization,66,,geovisualization66,,,geovisualization66,
machine learning,66,,machine learning66,,,machine learning66,
Morse-Smale complex,66,,Morse-Smale complex66,,,Morse-Smale complex66,
coordinated multiple views,65,,coordinated multiple views65,,,coordinated multiple views65,
GPU,65,,GPU65,,,GPU65,
Information theory,65,,Information theory65,,,Information theory65,
navigation,65,,navigation65,,,navigation65,
quantitative evaluation,65,,quantitative evaluation65,,,quantitative evaluation65,
simulation,65,,simulation65,,,simulation65,
task and requirements analysis,65,,task and requirements analysis65,,,task and requirements analysis65,
taxonomy,65,,taxonomy65,,,taxonomy65,
algorithms,64,,algorithms64,,,algorithms64,
dimensionality reduction,64,,dimensionality reduction64,,,dimensionality reduction64,
Scatterplot,64,,Scatterplot64,,,Scatterplot64,
vector fields,64,,vector fields64,,,vector fields64,
rendering,63,,rendering63,,,rendering63,
Scatterplots,63,,Scatterplots63,,,Scatterplots63,
treemaps,62,,treemaps62,,,treemaps62,
data exploration,61,,data exploration61,,,data exploration61,
graphs,61,,graphs61,,,graphs61,
Knowledge Discovery,61,,Knowledge Discovery61,,,Knowledge Discovery61,
sampling,61,,sampling61,,,sampling61,
intelligence analysis,60,,intelligence analysis60,,,intelligence analysis60,
LIC,60,,LIC60,,,LIC60,
critical points,59,,critical points59,,,critical points59,
expected time complexity,59,,expected time complexity59,,,expected time complexity59,
nearest common ancestor,59,,nearest common ancestor59,,,nearest common ancestor59,
point-based visualization,59,,point-based visualization59,,,point-based visualization59,
toolkits,59,,toolkits59,,,toolkits59,
Visualization of volume data,59,,Visualization of volume data59,,,Visualization of volume data59,
hardware acceleration,58,,hardware acceleration58,,,hardware acceleration58,
virtual environments,57,,virtual environments57,,,virtual environments57,
visual analysis,57,,visual analysis57,,,visual analysis57,
compression,56,,compression56,,,compression56,
illustrative rendering,56,,illustrative rendering56,,,illustrative rendering56,
stress tensor,56,,stress tensor56,,,stress tensor56,
investigative analysis,55,,investigative analysis55,,,investigative analysis55,
Social Media,55,,Social Media55,,,Social Media55,
Vector field,55,,Vector field55,,,Vector field55,
3D Vector Field Visualization,54,,3D Vector Field Visualization54,,,3D Vector Field Visualization54,
Unsteady flow visualization,54,,Unsteady flow visualization54,,,Unsteady flow visualization54,
view-dependent,54,,view-dependent54,,,view-dependent54,
Visualization design,54,,Visualization design54,,,Visualization design54,
Feature Tracking,53,,Feature Tracking53,,,Feature Tracking53,
provenance,53,,provenance53,,,provenance53,
radial visualization,53,,radial visualization53,,,radial visualization53,
segmentation,53,,segmentation53,,,segmentation53,
coordinated and multiple views,52,,coordinated and multiple views52,,,coordinated and multiple views52,
data visualization,52,,data visualization52,,,data visualization52,
hierarchies,52,,hierarchies52,,,hierarchies52,
categorical data,51,,categorical data51,,,categorical data51,
node-link diagrams,51,,node-link diagrams51,,,node-link diagrams51,
splatting,51,,splatting51,,,splatting51,
Time series analysis,51,,Time series analysis51,,,Time series analysis51,
unsteady flow,51,,unsteady flow51,,,unsteady flow51,
glyphs,49,,glyphs49,,,glyphs49,
human factors,48,,human factors48,,,human factors48,
time-varying,48,,time-varying48,,,time-varying48,
linked views,46,,linked views46,,,linked views46,
scalar fields,46,,scalar fields46,,,scalar fields46,
CFD,45,,CFD45,,,CFD45,
feature detection,45,,feature detection45,,,feature detection45,
force-directed ,45,,force-directed 45,,,force-directed 45,
interactive,45,,interactive45,,,interactive45,
text analytics,45,,text analytics45,,,text analytics45,
computational topology,44,,computational topology44,,,computational topology44,
Contour Tree,44,,Contour Tree44,,,Contour Tree44,
visibility culling,44,,visibility culling44,,,visibility culling44,
feature selection,43,,feature selection43,,,feature selection43,
levels-of-detail,43,,levels-of-detail43,,,levels-of-detail43,
Parameter space analysis,43,,Parameter space analysis43,,,Parameter space analysis43,
Analytic provenance,42,,Analytic provenance42,,,Analytic provenance42,
case study,42,,case study42,,,case study42,
computational fluid dynamics (CFD),42,,computational fluid dynamics (CFD)42,,,computational fluid dynamics (CFD)42,
deformation,42,,deformation42,,,deformation42,
eye tracking,42,,eye tracking42,,,eye tracking42,
graphical user interface,42,,graphical user interface42,,,graphical user interface42,
interaction design,42,,interaction design42,,,interaction design42,
interval volume,42,,interval volume42,,,interval volume42,
data partitioning,41,,data partitioning41,,,data partitioning41,
exploration,41,,exploration41,,,exploration41,
kernel density estimation,41,,kernel density estimation41,,,kernel density estimation41,
mesh simplification,41,,mesh simplification41,,,mesh simplification41,
programmable graphics hardware,41,,programmable graphics hardware41,,,programmable graphics hardware41,
time series,41,,time series41,,,time series41,
treemap,41,,treemap41,,,treemap41,
vessel visualization,41,,vessel visualization41,,,vessel visualization41,
digital humanities,40,,digital humanities40,,,digital humanities40,
set visualization,40,,set visualization40,,,set visualization40,
theory,40,,theory40,,,theory40,
data analysis,39,,data analysis39,,,data analysis39,
Ensemble visualization,39,,Ensemble visualization39,,,Ensemble visualization39,
movement data,39,,movement data39,,,movement data39,
Natural-Language Interface,39,,Natural-Language Interface39,,,Natural-Language Interface39,
Neuroscience,39,,Neuroscience39,,,Neuroscience39,
text and document data,39,,text and document data39,,,text and document data39,
Computer Vision,38,,Computer Vision38,,,Computer Vision38,
