1990-1994,k1,n1,1994-1999,k2,n2,2000-2004,k3,n3,2005-2009,k4,n4,2010-2014,k5,n5,2015,k6,n6
2,automated design of graphical displays,55,2,information visualization,36,2,information visualization,25,3,visual analytics,73,4,visual analytics,103,3,visual analytics,17
17,cooperative design and modeling,55,21,volume rendering,24,18,volume rendering,24,39,information visualization,70,25,information visualization,75,17,information visualization,13
Vis,design automation,55,infoVis,scientific visualization,21,InfoVis,flow visualization,22,InfoVis,volume rendering,46,InfoVis,visualization,40,InfoVis,interaction,13
640,grammar-directed design,55,266,visualization,14,460,multidimensional visualization,22,799,visualization,39,1118,interaction,29,204,multidimensional visualization,9
,human-computer interaction,55,Vis,flow visualization,11,Vis,clustering,15,VAST,interaction,33,SciVis,interactive visualization,26,SciVis,visualization,9
,computational geometry,36,547,volume visualizatio,9,479,visualization,14,612,exploratory visualization,31,77,multidimensional visualization,26,54,evaluation,7
,geometric modeling,22,,brushin,8,,graph drawing,11,Vis,parallel coordinates,26,VAST,high-dimensional data,24,VAST,authoring environment,6
,sweeping,22,,user interface,8,,graphics hardware,10,712,collaboration,24,77,design study,23,185,design study,6
,volume modeling,22,,cfd,7,,graph visualization,9,,information retrieval,22,Vis,parallel coordinates,18,,digital humanities,6
,algorithms,14,,computer vision,7,,focus+context,8,,focus+context,21,247,evaluation,16,,exploratory visualization,6
,data structures,14,,exploratory visualization,7,,high-dimensional data,8,,transfer function,21,,multivariate data,16,,journalism,6
,expected time complexity,14,,feature tracking,7,,texture mapping,8,,multidimensional visualization,20,,qualitative evaluation,16,,system,6
,multidimensional visualization,14,,interfaces to databases,7,,volume visualization,8,,multivariate data,20,,sensemaking,16,,time-oriented data,6
,nearest common ancestor,14,,lipschitz exponents,7,,critical points,7,,flow visualization,17,,framework,14,,timelines,6
,visualization of volume data,14,,singularities,7,,direct volume rendering,7,,interactive visualization,16,,human-computer interaction,14,,parallel coordinates,5
,graphical user interface,10,,streamlines,7,,exploratory visualization,7,,human-computer interaction,15,,user interfaces,14,,brushing,4
,information retrieval,10,,visualizing large data sets,7,,force-directed_7,7,,sensemaking,15,,graph visualization,12,,includeeditcoordinated and multiple views,4
,,,,wavelet transforms,7,,includeeditisosurfaces,7,,intelligence analysis,14,,toolkits,12,,,
,,,,animation,6,,,,,data analysis,13,,visual knowledge discovery,12,,,
,,,,biomedical visualization,6,,,,,evaluation,13,,visualization models,12,,,
,,,,includeeditmultidimensional visualization,6,,,,,radial visualization,13,,volume rendering,12,,,
,,,,,,,,,,visual query languages,13,,classification,11,,,
,,,,,,,,,,argumentation marshalling,12,,clustering,10,,,
,,,,,,,,,,collective intelligence,12,,intelligence analysis,10,,,
,,,,,,,,,,entity-based,12,,task and requirements analysis,10,,,
,,,,,,,,,,graph visualization,12,,,,,,
,,,,,,,,,,interactive clustering,12,,,,,,
,,,,,,,,,,semantic notebook,12,,,,,,
,,,,,,,,,,volume visualization,12,,,,,,
,,,,,,,,,,visual exploration,11,,,,,,
,,,,,,,,,,visual queries,11,,,,,,
,,,,,,,,,,clustering,10,,,,,,
,,,,,,,,,,design,10,,,,,,
,,,,,,,,,,high-dimensional data,10,,,,,,
,,,,,,,,,,knowledge discovery,10,,,,,,
,,,,,,,,,,multiple views,10,,,,,,
,,,,,,,,,,navigation,10,,,,,,
,,,,,,,,,,text visualization,10,,,,,,
,,,,,,,,,,includeeditwikipedia,10,,,,,,
